id,subcategory,type_of_question,category,difficulty_score,difficulty_band,concept_difficulty,operations_required,problem_structure,solution_method,core_concepts,concept_extraction_status,quality_verified,created_at
76cd68bd-a6a5-4787-aa89-0df8fc941d2f,Averages and Alligation,Basic Averages,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of even numbers"", ""basic arithmetic operations""], ""cognitive_barriers"": [""recognizing pattern in number form"", ""ensuring all numbers are even""], ""mastery_indicators"": [""correctly identifying valid numbers"", ""accurate computation of average""]}","[""addition"", ""division""]",pattern recognition and arithmetic computation,Calculate the sum of all numbers of the form 'aabb' and divide by the count of such numbers.,"[""average"", ""even numbers"", ""digit properties""]",completed,True,2025-09-08 15:01:22.188060
93d4a031-bab9-49db-87df-4068c9de9e09,Averages and Alligation,Weighted Averages,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of averages"", ""basic algebra""], ""cognitive_barriers"": [""setting up equations correctly""], ""mastery_indicators"": [""ability to manipulate average equations""]}","[""algebraic manipulation"", ""ratio calculation""]",equation setup and solving,Set up equations based on average weight changes and solve for the ratio.,"[""average"", ""weighted average"", ""ratios""]",completed,True,2025-09-08 15:01:22.188272
50461a6f-7fb1-42e7-84de-e32bac88f0dc,Circles,Angles in a Circle,Geometry and Mensuration,2.50,Medium,"{""prerequisites"": [""basic combinatorics"", ""understanding of circle geometry""], ""cognitive_barriers"": [""visualizing geometric configurations""], ""mastery_indicators"": [""correct application of combination formula""]}","[""combination calculation""]",combinatorial geometry,combinatorial selection,"[""combinatorics"", ""geometry"", ""circle properties""]",completed,True,2025-09-08 15:01:22.187607
d678cc7d-58a6-4891-a062-980f2c6aa967,Circles,Angles in a Circle,Geometry and Mensuration,2.50,Medium,"{""prerequisites"": [""understanding of cyclic quadrilaterals"", ""angle properties in circles""], ""cognitive_barriers"": [""visualizing angles subtended by arcs""], ""mastery_indicators"": [""correct application of cyclic quadrilateral properties""]}","[""angle calculation"", ""subtraction""]",cyclic quadrilateral analysis,Use properties of cyclic quadrilaterals and angles subtended by the same arc.,"[""cyclic quadrilateral"", ""opposite angles"", ""angle subtended by arc""]",completed,True,2025-09-08 15:01:22.187674
e9d59afa-4674-4bf9-b3de-3281a80781e3,Circles,Tangents & Chords,Geometry and Mensuration,2.50,Medium,"{""prerequisites"": [""Understanding of circle properties"", ""Pythagorean Theorem""], ""cognitive_barriers"": [""Visualizing geometric relationships"", ""Setting up equations from geometric properties""], ""mastery_indicators"": [""Ability to relate inscribed figures to circle properties"", ""Correct application of Pythagorean Theorem""]}","[""Squaring"", ""Addition"", ""Equation setup""]",Geometric relationship between inscribed rectangle and circle,Use the Pythagorean Theorem to relate the diagonal of the rectangle to the diameter of the circle.,"[""Pythagorean Theorem"", ""Properties of Inscribed Figures"", ""Circle Geometry""]",completed,True,2025-09-08 15:01:22.187768
a87b33f4-f618-437e-930e-fc9b9a902f60,Digit Properties,Sum of Digits,Number System,2.50,Medium,"{""prerequisites"": [""understanding of place value"", ""basic algebra""], ""cognitive_barriers"": [""forming equations from word problems""], ""mastery_indicators"": [""ability to manipulate digit-based equations""]}","[""algebraic manipulation"", ""integer arithmetic""]",equation-based reasoning,Set up an equation based on the properties of digits and solve for valid numbers.,"[""digit reversal"", ""equation formation"", ""integer properties""]",completed,True,2025-09-08 15:01:22.188154
f364d3ee-70d0-4238-9fb3-53e9731db1f9,Linear Equations,Three variable systems,Algebra,2.50,Medium,"{""prerequisites"": [""understanding of linear equations"", ""basic algebraic manipulation""], ""cognitive_barriers"": [""interpreting multiple equations"", ""balancing equations""], ""mastery_indicators"": [""correct substitution"", ""accurate simplification""]}","[""substitution"", ""simplification""]",system of linear equations with three variables,Solve the system of equations by substitution and simplification.,"[""linear equations"", ""system of equations"", ""substitution""]",completed,True,2025-09-08 15:01:22.188479
e79b78d4-35c6-4485-9ffa-66c8545b7dc4,Linear Equations,Two variable systems,Algebra,2.50,Medium,"{""prerequisites"": [""understanding of magic squares"", ""basic arithmetic""], ""cognitive_barriers"": [""recognizing patterns in number arrangements""], ""mastery_indicators"": [""ability to deduce missing numbers in a magic square""]}","[""addition"", ""subtraction""]",pattern recognition and arithmetic,logical deduction and arithmetic,"[""magic square"", ""sum of rows, columns, and diagonals"", ""number properties""]",completed,True,2025-09-08 15:01:22.187687
050a3c0d-784d-4d77-9311-39145bb8dac5,Linear Equations,Two variable systems,Algebra,2.50,Medium,"{""prerequisites"": [""understanding of linear equations"", ""basic arithmetic operations""], ""cognitive_barriers"": [""reverse engineering the problem"", ""sequential deduction""], ""mastery_indicators"": [""ability to set up and solve equations"", ""logical reasoning through steps""]}","[""division"", ""addition"", ""subtraction""]",sequential deduction with linear equations,Backward calculation from the final state to the initial state using linear equations,"[""linear equations"", ""sequential operations"", ""backward calculation""]",completed,True,2025-09-08 15:01:22.188474
cc60df80-8c06-4483-bfad-3470f17d90ed,Linear Equations,Two variable systems,Algebra,2.50,Medium,"{""prerequisites"": [""understanding of linear equations"", ""basic algebraic manipulation""], ""cognitive_barriers"": [""interpreting fractional terms in equations"", ""manipulating equations to isolate variables""], ""mastery_indicators"": [""ability to solve systems of equations"", ""correct substitution and simplification""]}","[""substitution"", ""algebraic manipulation""]",system_of_equations,We solve the system of equations by expressing one variable in terms of others and substituting back.,"[""linear equations"", ""system of equations"", ""substitution method""]",completed,True,2025-09-08 15:01:22.188038
060063cd-58fd-4ada-a92b-5ff668222be2,Mensuration 3D,Volume Cylinder,Geometry and Mensuration,2.50,Medium,"{""prerequisites"": [""Understanding of volume formulas"", ""Basic geometry""], ""cognitive_barriers"": [""Visualizing 3D objects"", ""Combining different geometric shapes""], ""mastery_indicators"": [""Correct application of volume formula"", ""Accurate height calculation""]}","[""Volume calculation"", ""Addition""]",Combination of 3D shapes,"Calculate the radius of the cylinder using its volume, then determine the total height by adding the cylinder's height and the ball's radius.","[""Volume of Cylinder"", ""Sphere Geometry"", ""Vertical Distance Calculation""]",completed,True,2025-09-08 15:01:22.187621
520e2b6a-ff9d-43fe-b843-c6cc9ef34155,Mixtures and Solutions,Concentration Change,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of density"", ""basic algebra""], ""cognitive_barriers"": [""setting up equations from word problems""], ""mastery_indicators"": [""ability to solve linear equations""]}","[""addition"", ""subtraction"", ""division""]",linear equation system,system of linear equations,"[""density"", ""volume"", ""mixture""]",completed,True,2025-09-08 15:01:22.187937
2dced1fb-5a76-41ef-8630-1b16c99d9eb1,Mixtures and Solutions,Concentration Change,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of ratios"", ""basic mixture problems""], ""cognitive_barriers"": [""correctly setting up the ratio problem"", ""understanding mixture composition""], ""mastery_indicators"": [""ability to manipulate ratios"", ""accurate calculation of new mixture ratios""]}","[""ratio calculation"", ""proportion setup""]",mixture and ratio analysis,"To solve this problem, we first determine the composition of the initial mixture and then calculate the composition of the new mixture after combining it with additional sugar syrup.","[""ratios"", ""mixtures"", ""proportions""]",completed,True,2025-09-08 15:01:22.188347
7b787f75-3910-437a-ad74-ad6faf542228,Mixtures and Solutions,Replacements,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of ratios"", ""basic arithmetic operations""], ""cognitive_barriers"": [""tracking changes in mixture composition""], ""mastery_indicators"": [""correct calculation of final ratios""]}","[""addition"", ""subtraction"", ""multiplication"", ""division""]",sequential mixture and replacement,Step-by-step calculation of mixture and replacement,"[""mixture"", ""replacement"", ""ratios""]",completed,True,2025-09-08 15:01:22.188319
c998adf8-c17b-49ca-bc03-8afbaf3432b8,Partnerships,Profit share,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of ratios"", ""basic algebra""], ""cognitive_barriers"": [""setting up equations from word problems""], ""mastery_indicators"": [""ability to manipulate and solve ratio-based equations""]}","[""ratio manipulation"", ""algebraic substitution""]",multi-step ratio and algebra problem,Set up equations based on given ratios and solve for total interest.,"[""ratios"", ""proportions"", ""interest income""]",completed,True,2025-09-08 15:01:22.187885
33bb1199-975e-45d7-baea-a9da0b2749d5,Percentages,Basics,Arithmetic,2.50,Medium,"{""prerequisites"": [""basic percentage knowledge"", ""equation solving""], ""cognitive_barriers"": [""translating word problem into equations""], ""mastery_indicators"": [""correctly setting up and solving equations""]}","[""percentage calculation"", ""algebraic manipulation""]",multi-step percentage and equation problem,Set up equations based on percentage conditions and solve for unknowns.,"[""percentage calculation"", ""equation setup"", ""algebraic manipulation""]",completed,True,2025-09-08 15:01:22.188233
f56e2d6e-ee22-486e-b3a7-1b2eed5fc960,Percentages,Basics,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of percentages"", ""basic arithmetic operations""], ""cognitive_barriers"": [""interpreting percentage relationships"", ""multi-step reasoning""], ""mastery_indicators"": [""accurate percentage calculations"", ""correct interpretation of data""]}","[""subtraction"", ""multiplication"", ""division""]",multi-step percentage analysis,step-by-step breakdown of percentages,"[""percentage calculation"", ""complementary percentages"", ""proportional reasoning""]",completed,True,2025-09-08 15:01:22.188064
36c22628-054e-4d4c-803e-7a141127abfe,Percentages,Basics,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of percentages"", ""basic algebra""], ""cognitive_barriers"": [""translating word problem into equations""], ""mastery_indicators"": [""ability to set up and solve equations involving percentages""]}","[""multiplication"", ""subtraction"", ""division""]",linear equation setup,algebraic manipulation of percentages,"[""percentage calculations"", ""basic algebra""]",completed,True,2025-09-08 15:01:22.187577
fad1b2d3-2c99-477f-94ce-3cc4de29a906,Percentages,Basics,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of percentages"", ""basic algebraic manipulation""], ""cognitive_barriers"": [""translating word problem into equations""], ""mastery_indicators"": [""correctly setting up and solving equations""]}","[""algebraic manipulation"", ""percentage calculation""]",word problem involving percentages and algebra,Set up equations based on given percentages and solve for unknowns,"[""percentages"", ""ratios"", ""basic algebra""]",completed,True,2025-09-08 15:01:22.187902
11a7d7d9-85c0-4e43-a52d-99d18f97c7b3,Percentages,Percentage Change,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of percentages"", ""basic algebra""], ""cognitive_barriers"": [""relating percentage changes to population growth""], ""mastery_indicators"": [""ability to manipulate percentage formulas""]}","[""multiplication"", ""division"", ""subtraction""]",relational analysis between percentage changes,algebraic manipulation of percentage relationships,"[""percentage increase"", ""per capita production"", ""population growth""]",completed,True,2025-09-08 15:01:22.187670
db613f74-ca56-4bf4-9cd5-a7e7db98bf41,Percentages,Percentage Change,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of percentages"", ""basic arithmetic operations""], ""cognitive_barriers"": [""interpreting percentage changes in context""], ""mastery_indicators"": [""accurate calculation of percentage differences""]}","[""multiplication"", ""division"", ""subtraction""]",sequential percentage adjustments and comparison,"Set up initial values based on percentage relationships, adjust for changes, and calculate percentage difference.","[""percentage increase"", ""percentage decrease"", ""income comparison""]",completed,True,2025-09-08 15:01:22.187942
c84333ba-933d-4894-a3d8-581f5d181986,Percentages,Percentage Change,Arithmetic,2.50,Medium,"{""prerequisites"": [""basic algebra"", ""percentage calculations""], ""cognitive_barriers"": [""setting up equations"", ""solving simultaneous equations""], ""mastery_indicators"": [""correctly formulating equations"", ""accurate calculation of percentage increase""]}","[""algebraic manipulation"", ""percentage calculation""]",system of linear equations,Set up equations based on percentage increase and solve the system of equations.,"[""percentage increase"", ""system of equations"", ""algebraic manipulation""]",completed,True,2025-09-08 15:01:22.187978
8f751063-e0b9-4ac7-a6f6-79682457a9f6,Permutation-Combination,Basics,Modern Math,2.50,Medium,"{""prerequisites"": [""basic combinatorics"", ""integer partitioning""], ""cognitive_barriers"": [""understanding constraints"", ""applying combinatorial logic""], ""mastery_indicators"": [""correct application of constraints"", ""accurate calculation of combinations""]}","[""subtraction"", ""combinatorial counting""]",constraint-based distribution,use of combinatorial distribution with constraints,"[""combinatorial distribution"", ""integer partitioning"", ""constraint satisfaction""]",completed,True,2025-09-08 15:01:22.187695
71bbceea-4d62-484f-8d24-38e0b7cf14b4,Permutation-Combination,Basics,Modern Math,2.50,Medium,"{""prerequisites"": [""understanding of combinations"", ""basic counting principles""], ""cognitive_barriers"": [""recognizing ascending order constraint"", ""applying combination formula""], ""mastery_indicators"": [""correct application of combination formula"", ""accurate counting of valid numbers""]}","[""combination calculation"", ""summation""]",combinatorial enumeration,combinatorial counting,"[""combinatorics"", ""permutations"", ""combinations""]",completed,True,2025-09-08 15:01:22.187772
16d5380e-fc31-4ad8-ac3e-d2c06d9c7c84,Profit-Loss-Discount,Basics,Arithmetic,2.50,Medium,"{""prerequisites"": [""Understanding of percentage"", ""Basic profit and loss concepts""], ""cognitive_barriers"": [""Sequential application of percentage profits""], ""mastery_indicators"": [""Ability to reverse calculate original cost from final price""]}","[""Multiplication"", ""Division""]",Sequential profit application,Sequential percentage profit calculation,"[""Profit calculation"", ""Percentage profit"", ""Sequential profit application""]",completed,True,2025-09-08 15:01:22.187643
89af35f4-e845-43b9-87ed-0f49e34d56bd,Profit-Loss-Discount,Basics,Arithmetic,2.50,Medium,"{""prerequisites"": [""Understanding of profit and loss"", ""Basic algebra""], ""cognitive_barriers"": [""Setting up the correct equations""], ""mastery_indicators"": [""Ability to solve linear equations""]}","[""Equation setup"", ""Algebraic manipulation""]",Linear equation with one variable,"Set up equations based on cost and profit, solve for the number of dozens","[""Profit calculation"", ""Cost price determination"", ""Equation setup""]",completed,True,2025-09-08 15:01:22.187679
07d5f8df-4d84-4d53-a5b3-e01b85b94fec,Profit-Loss-Discount,Basics,Arithmetic,2.50,Medium,"{""prerequisites"": [""Understanding of percentage profit and loss"", ""Basic algebraic manipulation""], ""cognitive_barriers"": [""Translating percentage profit/loss into equations""], ""mastery_indicators"": [""Ability to set up and solve equations involving percentages""]}","[""Multiplication"", ""Addition"", ""Subtraction"", ""Division""]",Linear equation setup and solving,Set up equations based on profit and loss percentages and solve for the unknown.,"[""Profit and Loss"", ""Percentage Calculations"", ""Basic Algebra""]",completed,True,2025-09-08 15:01:22.188024
16cd43cc-18d4-4c09-b31a-b8a2fc989853,Profit-Loss-Discount,Basics,Arithmetic,2.50,Medium,"{""prerequisites"": [""Understanding of profit and loss"", ""Basic percentage calculations""], ""cognitive_barriers"": [""Combining different price levels"", ""Calculating weighted averages""], ""mastery_indicators"": [""Ability to calculate overall profit percentage from mixed goods""]}","[""Multiplication"", ""Division"", ""Percentage Calculation""]",Mixture of different quality goods with different cost and selling prices,"Calculate the cost price and selling price for both types of mangoes, then determine the overall profit percentage.","[""Profit and Loss"", ""Percentage Calculation"", ""Weighted Averages""]",completed,True,2025-09-08 15:01:22.187558
06b80dac-8f88-444d-899b-82093f2706cf,Quadratic Equations,Roots & Nature of Roots,Algebra,2.50,Medium,"{""prerequisites"": [""understanding of quadratic equations"", ""ability to manipulate algebraic expressions""], ""cognitive_barriers"": [""recognizing the relationship between roots and coefficients""], ""mastery_indicators"": [""correct application of sum and product of roots formulas""]}","[""algebraic manipulation"", ""substitution""]",The problem involves identifying the relationship between the roots and coefficients of a quadratic equation.,We use the properties of quadratic equations where the sum and product of the roots are related to the coefficients of the equation.,"[""quadratic equations"", ""sum and product of roots"", ""integer solutions""]",completed,True,2025-09-08 15:01:22.187969
73d66eeb-b520-4deb-a582-550ea67ceadf,Ratios and Proportions,Compound Ratios,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of ratios"", ""basic arithmetic operations""], ""cognitive_barriers"": [""combining multiple ratios"", ""applying weighted averages""], ""mastery_indicators"": [""correctly calculating compound ratios"", ""accurately distributing total weight""]}","[""multiplication"", ""division"", ""addition""]",compound ratio analysis,"To find the weight of metal C, first calculate the effective weight ratio of the metals using both volume and weight ratios, then determine the weight of C in the total sample.","[""ratios"", ""proportions"", ""weighted averages""]",completed,True,2025-09-08 15:01:22.188032
5f273fba-613a-4561-acff-736ae1ac4ab8,Ratios and Proportions,Compound Ratios,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of ratios"", ""basic algebra""], ""cognitive_barriers"": [""manipulating ratios"", ""equating expressions""], ""mastery_indicators"": [""ability to equate and simplify ratios""]}","[""ratio manipulation"", ""algebraic simplification""]",comparison of ratios with a constraint,equating total packets and comparing specific ratios,"[""ratios"", ""proportions"", ""equating totals""]",completed,True,2025-09-08 15:01:22.187563
e945c2c0-1924-49c8-b6f5-98a71c900565,Ratios and Proportions,Direct and Inverse Variation,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of ratios"", ""basic algebra""], ""cognitive_barriers"": [""interpreting percentage change""], ""mastery_indicators"": [""ability to set up and solve equations""]}","[""substitution"", ""simplification""]",linear equation setup and manipulation,algebraic manipulation and substitution,"[""ratios"", ""proportions"", ""percentage increase""]",completed,True,2025-09-08 15:01:22.187599
9ef24751-0865-4eee-8cb3-bdeb43899e8b,Ratios and Proportions,Simple Rations,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of ratios"", ""basic multiplication""], ""cognitive_barriers"": [""identifying least common multiple""], ""mastery_indicators"": [""ability to manipulate ratios and multiples""]}","[""multiplication"", ""division"", ""finding LCM""]",ratio and multiple constraints,"Set up equations based on given ratios and conditions, solve for minimum values.","[""ratios"", ""multiples"", ""least common multiple""]",completed,True,2025-09-08 15:01:22.188596
1ac0f44e-5498-4515-afd0-2220ab23f9c9,Ratios and Proportions,Simple Rations,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of ratios"", ""basic algebra""], ""cognitive_barriers"": [""translating word problem into equations""], ""mastery_indicators"": [""correctly setting up and solving the inequality""]}","[""algebraic manipulation"", ""inequality solving""]",linear equation with inequality constraint,Set up a ratio equation and solve for the maximum integer value under a constraint.,"[""ratios"", ""proportions"", ""inequalities""]",completed,True,2025-09-08 15:01:22.188263
19ce20fc-0cb3-4460-9a1f-42c27cd907cf,Ratios and Proportions,Simple Rations,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of ratios"", ""basic algebra""], ""cognitive_barriers"": [""setting up equations correctly"", ""interpreting ratio changes""], ""mastery_indicators"": [""ability to manipulate ratios"", ""solving linear equations""]}","[""algebraic manipulation"", ""equation solving""]",ratio transformation,"Set up equations based on initial and final ratios, solve for the number of items transferred.","[""ratios"", ""proportions"", ""algebraic manipulation""]",completed,True,2025-09-08 15:01:22.187777
07949196-c567-45aa-b123-114f3dfe2399,Ratios and Proportions,Simple Rations,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of ratios"", ""basic algebra""], ""cognitive_barriers"": [""setting up equations correctly""], ""mastery_indicators"": [""ability to manipulate and solve ratio equations""]}","[""algebraic manipulation"", ""solving linear equations""]",linear relationship between scores and their increments,Set up equations based on given ratios and solve for the unknown increase.,"[""ratios"", ""proportions"", ""linear equations""]",completed,True,2025-09-08 15:01:22.187855
e1e02ff6-6c5d-45fc-91d9-f8dada0207c1,Ratios and Proportions,Simple Rations,Arithmetic,2.50,Medium,"{""prerequisites"": [""understanding of percentages"", ""basic ratio calculations""], ""cognitive_barriers"": [""interpreting percentage in terms of total salary"", ""relating total and average salaries""], ""mastery_indicators"": [""correctly setting up and solving ratio equations""]}","[""percentage calculation"", ""ratio calculation""]",relational analysis between groups,Set up equations based on given percentages and solve for the ratio of averages.,"[""ratios"", ""percentages"", ""average salary""]",completed,True,2025-09-08 15:01:22.188441
e038380d-f453-4bdc-b2fe-4a230ca48b98,Simple and Compound Interest,Basics,Arithmetic,2.50,Medium,"{""prerequisites"": [""Understanding of simple interest"", ""Basic algebra""], ""cognitive_barriers"": [""Setting up equations correctly"", ""Solving linear equations""], ""mastery_indicators"": [""Ability to equate and solve interest equations""]}","[""Multiplication"", ""Subtraction"", ""Division""]",Linear equation setup and solving,Set up equations for simple interest and solve for equality,"[""Simple Interest"", ""Linear Equations""]",completed,True,2025-09-08 15:01:22.188051
af94120b-9938-4746-a949-10c77931c132,Simple and Compound Interest,Basics,Arithmetic,2.50,Medium,"{""prerequisites"": [""Understanding of simple interest"", ""Basic algebra""], ""cognitive_barriers"": [""Combining different interest rates"", ""Understanding proportional investments""], ""mastery_indicators"": [""Correctly calculating total interest"", ""Solving for time in interest problems""]}","[""Fraction operations"", ""Algebraic manipulation""]",Multi-part investment with different interest rates,"Break down the capital into parts, calculate interest for each part, sum up the interests, and solve for time.","[""Simple Interest"", ""Proportional Investment"", ""Interest Rate Calculation""]",completed,True,2025-09-08 15:01:22.188254
d056cef0-cff9-42d8-949a-dee3a694694d,Simple and Compound Interest,Basics,Arithmetic,2.50,Medium,"{""prerequisites"": [""Understanding of simple interest formula"", ""Basic algebraic manipulation""], ""cognitive_barriers"": [""Setting up equations correctly"", ""Interpreting percentage of total""], ""mastery_indicators"": [""Ability to equate and solve interest equations"", ""Correctly calculating percentage""]}","[""Algebraic manipulation"", ""Ratio and proportion"", ""Percentage calculation""]",Equating two expressions and solving for unknowns,Equating simple interests and solving for the ratio of investments,"[""Simple Interest"", ""Proportionality"", ""Percentage Calculation""]",completed,True,2025-09-08 15:01:22.188259
